election_date,state,jurisdiction,jurisdiction_type,precinct_id,precinct_name,name,address
2016-11-08,AK,Fairbanks North Star,borough,01-446,Aurora,Agricultural Museum - Fairgrounds,"1800 College Road, Fairbanks, AK 99101"
2016-11-08,AK,Fairbanks North Star,borough,01-455,Fairbanks No.1,FNSB Borough Offices,"809 Pioneer Road, Fairbanks, AK 99707"
2016-11-08,AK,Fairbanks North Star,borough,01-465,Fairbanks No.2,Golden Towers,"330 3rd Avenue, Fairbanks, AK 99701"
2016-11-08,AK,Fairbanks North Star,borough,01-470,Fairbanks No.3,Noel Wien Library,"1215 Cowles Street, Fairbanks, AK 99701"
2016-11-08,AK,Fairbanks North Star,borough,01-475,Fairbanks No.4,National Guard Armory,"202 Wien Street, Fairbanks, AK 99701"
2016-11-08,AK,Fairbanks North Star,borough,01-480,Fairbanks No.5,Pioneer Park Centennial Center,"2300 Airport Way, Fairbanks, AK 99707"
2016-11-08,AK,Fairbanks North Star,borough,01-485,Fairbanks No.6,Shopper’s Forum Mall,"1255 Airport Way, Fairbanks, AK 99707"
2016-11-08,AK,Fairbanks North Star,borough,01-490,Fairbanks No.7,JP Jones Community Dev Center,"2400 Rickert Street, Fairbanks, AK 99707"
2016-11-08,AK,Fairbanks North Star,borough,01-495,Fairbanks No.10,Pioneer Park Centennial Center,"2300 Airport Way, Fairbanks, AK 99707"
2016-11-08,AK,Fairbanks North Star,borough,02-345,Badger No.2,Badger Plaza,"771 Badger Road, Fairbanks, AK 99711"
2016-11-08,AK,Fairbanks North Star,borough,02-355,Fairbanks No.8,Frontier Outfitters/Gavora Mall,"250 Third Street, Suite 6, Fairbanks, AK 99701"
2016-11-08,AK,Fairbanks North Star,borough,02-365,Fairbanks No.9,Tanana Middle School,"600 Trainor Gate Road, Fairbanks, AK 99701"
2016-11-08,AK,Fairbanks North Star,borough,02-375,Fort Wainwright,Last Frontier Community Activity Center,"1044 Apple Street, Fort Wainwright, AK 99703"
2016-11-08,AK,Fairbanks North Star,borough,03-130,Badger No.1,New Hope Methodist-Presbyterian Church,"2371 Bradway Road, North Pole, AK 99705"
2016-11-08,AK,Fairbanks North Star,borough,03-135,Chena Lakes,Santa Senior Center,"101 E 5th Avenue, North Pole, AK 99705"
2016-11-08,AK,Fairbanks North Star,borough,03-165,Newby,North Pole Plaza Mall,"301 N Santa Claus Ln., North Pole, AK 99707"
2016-11-08,AK,Fairbanks North Star,borough,03-175,North Pole,North Pole City Hall,"125 Snowman Lane, North Pole, AK 99705"
2016-11-08,AK,Fairbanks North Star,borough,03-183,Plack,North Pole Plaza Mall,"301 N Santa Claus Ln., North Pole, AK 99707"
2016-11-08,AK,Fairbanks North Star,borough,04-230,Ester,Ester Fire Station,"3570 Old Nenana Hwy, Ester, AK 99725"
2016-11-08,AK,Fairbanks North Star,borough,04-240,Farmers Loop,Seventh-Day Adventist Church - Gym,"1811 Farmer's Loop Road, Fairbanks, AK 99708"
2016-11-08,AK,Fairbanks North Star,borough,04-250,Goldstream No.1,Chena Goldstream Fire Station 3,"1300 Goldstream Rd, Fairbanks, AK 99709"
2016-11-08,AK,Fairbanks North Star,borough,04-260,Goldstream No.2,Ken Kunkel Community Center,"2591A Goldstream Road, Fairbanks, AK 99709"
2016-11-08,AK,Fairbanks North Star,borough,04-265,Steese East/Gilmore,Bentley Mall,"32 College Road, Fairbanks, AK 99701"
2016-11-08,AK,Fairbanks North Star,borough,04-270,Steese West,Bentley Mall,"32 College Road, Fairbanks, AK 99701"
2016-11-08,AK,Fairbanks North Star,borough,04-280,University Hills,Effie Kokrine Charter School,"601 Loftus Road, Fairbanks, AK 99701"
2016-11-08,AK,Fairbanks North Star,borough,05-580,Airport,Pike's Waterfront Lodge,"1850 Hoselton Road, Fairbanks, AK 99709"
2016-11-08,AK,Fairbanks North Star,borough,05-582,Chena,Faith Baptist Church,"910 Chena Pump Rd., Fairbanks, AK 99708"
2016-11-08,AK,Fairbanks North Star,borough,05-586,Geist,University Baptist Church,"1197 University Ave, Fairbanks, AK 99709"
2016-11-08,AK,Fairbanks North Star,borough,05-587,Lakeview,Gene's Chrysler Center,"3400 S Cushman St, Fairbanks, AK 99701"
2016-11-08,AK,Fairbanks North Star,borough,05-588,Pike,J.A. Kornfeind Training Center,"4782 Dale Road, Fairbanks, AK 99709"
2016-11-08,AK,Fairbanks North Star,borough,05-590,Richardson,North Star Fire Station #1,"2358 Bradway Road, Fairbanks, AK 99701"
2016-11-08,AK,Fairbanks North Star,borough,05-592,Shanly,Beaver Sports,"3480 College Road, Fairbanks, AK 99709"
2016-11-08,AK,Fairbanks North Star,borough,05-594,University Campus,Patty Center Lobby,"University of Alaska Campus, Fairbanks, AK 99775"
2016-11-08,AK,Fairbanks North Star,borough,05-596,University West,Woodriver Elementary School,"5000 Palo Verde Dr., Fairbanks, AK 99701"
2016-11-08,AK,Fairbanks North Star,borough,06-145,Eielson,Ben Eielson Jr/Sr High School,"675 Ravens Way, Fairbanks, AK 99701"
2016-11-08,AK,Fairbanks North Star,borough,06-150,Fox,Turtle Club,"2098 Old Steese Hwy. N (Mile 10), Fairbanks, AK 99707"
2016-11-08,AK,Fairbanks North Star,borough,06-155,Moose Creek,North Star Fire Station #35,"3483 Old Richardson Hwy, North Pole, AK 99705"
2016-11-08,AK,Fairbanks North Star,borough,06-160,Salcha,Salcha Elementary School,"8530 Richardson Hwy, Fairbanks, AK 99701"
2016-11-08,AK,Fairbanks North Star,borough,06-170,Steele Creek,Door of Hope One:8 Café,"270 Fairhill Road, Fairbanks, AK 99707"
2016-11-08,AK,Fairbanks North Star,borough,06-180,Two Rivers,Two Rivers K8 School,"400 Two Rivers Road, Two Rivers, AK 99716"
2016-11-08,AK,Denali,borough,06-005,Anderson,Anderson City Building,"1st Ave. , Anderson, AK 99744"
2016-11-08,AK,Denali,borough,06-012,Cantwell,Cantwell Community Center,"Cantwell Community Center, Parks Highway, Cantwell, AK 99729"
2016-11-08,AK,Denali,borough,06-024,Clear,Rochester Lodge,"Mi 280 Parks Highway, Anderson, AK 99744"
2016-11-08,AK,Denali,borough,06-026,Denali Park,Denali Park Community Center,"MI 230 Parks Highway, Denali Park, AK 99744"
2016-11-08,AK,Denali,borough,06-040,Healy,Tri Valley Community Center,"Usibelli Spur Road, Healy, AK 99744"
2016-11-08,AK,Matanuska-Susitna,borough,07-100,Lakes No. 1,Finger Lake Elementary School,"5981 Eek, Wasilla, AK 99654"
2016-11-08,AK,Matanuska-Susitna,borough,07-105,Pioneer Peak,Pioneer Peak Elementary,"1959 N Trunk Rd, Palmer, AK 99645"
2016-11-08,AK,Matanuska-Susitna,borough,07-110,Schrock,Alcantra National Guard Armory,"3401 E Bogard Road, Wasilla, AK 99654"
2016-11-08,AK,Matanuska-Susitna,borough,07-115,Wasilla Lake,Cottonwood Creek Elementary,"800 N Seward Meridian, Wasilla, AK 99654"
2016-11-08,AK,Matanuska-Susitna,borough,07-120,Wasilla No. 1,Wasilla Senior Citizens Center,"1301 Century Cir, Wasilla, AK 99654"
2016-11-08,AK,Matanuska-Susitna,borough,07-125,Wasilla No. 2,Wasilla City Hall,"290 E Herning Ave, Wasilla, AK 99654"
2016-11-08,AK,Matanuska-Susitna,borough,07-130,Foothills,Menard Sports Center,"1001 S. Mack Dr., Wasilla, AK 99654"
2016-11-08,AK,Matanuska-Susitna,borough,08-130,Meadow Lakes No. 1,Meadow Lakes Elementary,"1741 N Pittman Road, Wasilla, AK 99623"
2016-11-08,AK,Matanuska-Susitna,borough,08-135,Meadow Lakes No 2,Meadow Lakes Public Safety Building,"1685 N. Pittman Rd, Wasilla, AK 99654"
2016-11-08,AK,Matanuska-Susitna,borough,08-140,Knik Goose Bay No. 1,Knik Elementary School,"6350 W. Hollywood Rd, Wasilla, AK 99623"
2016-11-08,AK,Matanuska-Susitna,borough,08-145,Knik Goose Bay No. 2,Goose Bay Elementary School,"6400 Hollywood Blvd, Wasilla, AK 99623"
2016-11-08,AK,Matanuska-Susitna,borough,08-150,Knik Goose Bay No. 3,Settlers Bay Community Church,"6865 W. Dewlap Cir, Wasilla, AK 99654"
2016-11-08,AK,Matanuska-Susitna,borough,08-155,Big Lake,Big Lake Lions Club,"2939 S. Lions Cir., Wasilla, AK 99623"
2016-11-08,AK,Matanuska-Susitna,borough,09-622,Farm Loop,Farm Loop Christian Center,"5900 N Farm Loop Rd, Palmer, AK 99645"
2016-11-08,AK,Matanuska-Susitna,borough,09-628,Fishhook,Fishhook Public Safety Building,"8200 E Turner Rd, Palmer, AK 99645"
2016-11-08,AK,Matanuska-Susitna,borough,09-640,Sheep Mountain,Glacier View School,"65975 S Wolverine Circle, Sutton, AK 99674"
2016-11-08,AK,Matanuska-Susitna,borough,09-645,Sutton,Sutton Library,"11301 N Chickaloon Wy, Sutton, AK 99674"
2016-11-08,AK,Matanuska-Susitna,borough,10-005,Kings Lake,Colony High School,"9550 E Colony Schools Drive, Palmer, AK 99645"
2016-11-08,AK,Matanuska-Susitna,borough,10-010,Church,Lamb of God Lutheran Church,"1221 N. Church Rd., Wasilla, AK 99654"
2016-11-08,AK,Matanuska-Susitna,borough,10-015,Tanaina,Tanaina Elementary School,"2550 Lucille St, Wasilla, AK 99654"
2016-11-08,AK,Matanuska-Susitna,borough,10-020,Houston,Houston City Hall,"13878 W. Armstrong Rd., Houston, AK 99694"
2016-11-08,AK,Matanuska-Susitna,borough,10-025,Meadow Lakes No. 3,Church on the Rock,"3571 W. Machen Rd, Wasilla, AK 99623"
2016-11-08,AK,Matanuska-Susitna,borough,10-030,Susitna,Upper Susitna Senior and Civic Center,"16463 Helena Ave, Wasilla, AK 99676"
2016-11-08,AK,Matanuska-Susitna,borough,10-035,Talkeetna,Talkeetna Elementary School,"13930 E timberwolf Lp, Talkeetna, AK 99676"
2016-11-08,AK,Matanuska-Susitna,borough,10-040,Trapper Creek,Trapper Creek Elementary School,"6742 E. Petersville Rd., Trapper Creek, AK 99683"
2016-11-08,AK,Matanuska-Susitna,borough,10-045,Willow,Willow Community Center,"Mi 69 Parks Hwy, Willow, AK 99688"
2016-11-08,AK,Matanuska-Susitna,borough,10-050,Meadow Lakes No. 4,American Legion Post 35,"5050 Tweed Ct, Wasilla, AK 99654"
2016-11-08,AK,Matanuska-Susitna,borough,10-055,Lakes No. 2,Larson Elementary School,"2722 E Seldon Road, Wasilla, AK 99654"
2016-11-08,AK,Matanuska-Susitna,borough,11-055,Walby,Colony Middle School,"9250 E. Colony Schools Drive, Palmer, AK 99645"
2016-11-08,AK,Matanuska-Susitna,borough,11-060,Greater Palmer,Palmer Community Center (Depot),"610 S. Valley Way, Palmer, AK 99645"
2016-11-08,AK,Matanuska-Susitna,borough,11-065,Mat-Su Campus,Matanuska-Susitna College,"8295 E College Drive, Wasilla, AK 99654"
2016-11-08,AK,Matanuska-Susitna,borough,11-070,Palmer City No.1,Mat-Su Borough Building,"350 E Dahlia Ave, Palmer, AK 99645"
2016-11-08,AK,Matanuska-Susitna,borough,11-075,Palmer City No.2,Palmer Senior Citizen Center,"1132 S Chugach St, Palmer, AK 99645"
2016-11-08,AK,Matanuska-Susitna,borough,11-085,Trunk,Fire Station 51,"1911 S Terrace Ct., Palmer, AK 99645"
2016-11-08,AK,Matanuska-Susitna,borough,11-090,Seward Meridian,Gospel Outreach Fellowship Center,"4800 E Palmer Wasilla Hwy, Wasilla, AK 99654"
2016-11-08,AK,Matanuska-Susitna,borough,11-095,Springer Loop,Palmer 7th Day Adventist Church,"2238 Inner Springer Loop, Palmer, AK 99645"
2016-11-08,AK,Matanuska-Susitna,borough,11-099,Lazy Mountain,Lazy Mountain Bible Church,"16005 E Shawn Drive, Palmer, AK 99645"
2016-11-08,AK,Matanuska-Susitna,borough,12-200,Fairview No. 1,Snowshoe Elementary School,"2001 W Fairview Loop, Wasilla, AK 99654"
2016-11-08,AK,Matanuska-Susitna,borough,12-205,Fairview No. 2,Machetanz Elementary School,"4691 E Nelson Rd, Wasilla, AK 99654"
2016-11-08,AK,Matanuska-Susitna,borough,12-210,Snowshoe,Christ First United Methodist Church,"5137 W Fairview Loop, Wasilla, AK 99654"
2016-11-08,AK,Matanuska-Susitna,borough,12-220,Butte,Butte Public Safety Building,"3355 Old Glenn Highway, Palmer, AK 99645"
2016-11-08,AK,Anchorage,borough,12-225,Eklutna,Mirror Lake Middle School,"22901 Lake Hill Dr, Chugiak, AK 99567"
2016-11-08,AK,Anchorage,borough,12-230,Peters Creek No. 1,Peters Creek Christian Center,"20640 Chapel Dr, Chugiak, AK 99567"
2016-11-08,AK,Anchorage,borough,12-233,Peters Creek No. 2,Peters Creek Christian Center,"20640 Chapel Dr, Chugiak, AK 99567"
2016-11-08,AK,Anchorage,borough,13-235,Chugiak,Chugiak High School,"16525 Birchwood Lp, Chugiak, AK 99567"
2016-11-08,AK,Anchorage,borough,13-240,Fire Lake,Fire Lake Elementary School,"13801 Harry McDonald Rd , Eagle River, AK 99577"
2016-11-08,AK,Anchorage,borough,13-245,Jber No. 1,Ursa Major Elementary,"454 Dyea St, Fort Richardson, AK 99505"
2016-11-08,AK,Anchorage,borough,13-250,Downtown Eagle River No. 1,Eagle River Parks & Rec,"12001 Business Blvd #123, Eagle River, AK 99577"
2016-11-08,AK,Anchorage,borough,13-255,Chugach Park No. 1,Skyline Family Fellowship,"18239 N Eagle River Loop Rd, Eagle River, AK 99577"
2016-11-08,AK,Anchorage,borough,13-260,Centennial Park,Centennial Village,"9131 Centennial Dr, Anchorage, AK 99504"
2016-11-08,AK,Anchorage,borough,14-940,Downtown Eagle. River No. 2,Eagle River Elementary School,"10900 Old Eagle River Rd, Eagle River, AK 99577"
2016-11-08,AK,Anchorage,borough,14-945,Meadow Creek No. 1,Homestead Elementary School,"18001 Baranof, Eagle River, AK 99577"
2016-11-08,AK,Anchorage,borough,14-950,Meadow Creek No. 2,Joy Lutheran Church,"10111 E Eagle River Loop Rd, Eagle River, AK 99577"
2016-11-08,AK,Anchorage,borough,14-955,Eagle River No. 1,Gruening Middle School,"9601 Lee St, Eagle River, AK 99577"
2016-11-08,AK,Anchorage,borough,14-960,Eagle River No. 2,Kings Way Ministry Center,"10336 E Eagle River Loop Rd, Eagle River, AK 99577"
2016-11-08,AK,Anchorage,borough,14-965,Chugach Park No. 2,Ravenwood Elementary School,"9500 Wren Ln, Eagle River, AK 99577"
2016-11-08,AK,Anchorage,borough,14-970,Hiland,Alpenglow Elementary School,"19201 Driftwood Bay Drive, Eagle River, AK 99577"
2016-11-08,AK,Anchorage,borough,15-300,Jber No. 2,Mt Spurr Elementary,"8414 Mcguire Ave, Elmendorf AFB, AK 99506"
2016-11-08,AK,Anchorage,borough,15-305,Creekside Park,Creekside Park Elementary School,"7500 E 6Th Ave, Anchorage, AK 99504"
2016-11-08,AK,Anchorage,borough,15-310,Muldoon No. 1,Muldoon Elementary School,"525 Cherry Street, Anchorage, AK 99504"
2016-11-08,AK,Anchorage,borough,15-315,Muldoon No. 2,Muldoon Town Center,"382 Muldoon Road, Anchorage, AK 99504"
2016-11-08,AK,Anchorage,borough,15-320,North Muldoon,Bartlett High School,"1101 N Muldoon Rd, Anchorage, AK 99504"
2016-11-08,AK,Anchorage,borough,16-325,Russian Jack,Zion Lutheran Church,"2100 Boniface Pkwy, Anchorage, AK 99504"
2016-11-08,AK,Anchorage,borough,16-330,Nunaka Valley,Nunaka Valley Elementary,"1905 Twining Dr, Anchorage, AK 99504"
2016-11-08,AK,Anchorage,borough,16-335,Northeast Anchorage,St Innocent Orthodox Cathedral,"6724 E 4Th Avenue, Anchorage, AK 99504"
2016-11-08,AK,Anchorage,borough,16-340,College Gate,College Gate Elementary School,"3101 Sunflower, Anchorage, AK 99508"
2016-11-08,AK,Anchorage,borough,16-345,Chester Valley,Anchorage School District Building,"5530 E Northern Lights Blvd, Anchorage, AK 99504"
2016-11-08,AK,Anchorage,borough,16-350,Reflection Lake,Baxter Road Bible Church,"3600 Baxter Rd, Anchorage, AK 99504"
2016-11-08,AK,Anchorage,borough,16-355,Wonder Park,Wonder Park Elementary School,"5101 E 4Th Ave, Anchorage, AK 99508"
2016-11-08,AK,Anchorage,borough,17-400,Rogers Park,Rogers Park Elementary School,"1400 E Northern Lights Blvd, Anchorage, AK 99508"
2016-11-08,AK,Anchorage,borough,17-405,University No. 1,Lake Otis Elementary School,"3331 Lake Otis Pkwy, Anchorage, AK 99508"
2016-11-08,AK,Anchorage,borough,17-410,University No. 2,Alaska Housing Finance Corp Bldg,"4300 Boniface Pkwy, Anchorage, AK 99504"
2016-11-08,AK,Anchorage,borough,17-415,Far North Bicentennial,Anchorage Community YMCA,"5353 Lake Otis Pkwy, Anchorage, AK 99507"
2016-11-08,AK,Anchorage,borough,17-420,Tudor No. 1,Tudor Elementary School,"1666 Cache Dr, Anchorage, AK 99507"
2016-11-08,AK,Anchorage,borough,17-425,Tudor No. 2,University Baptist Church,"4313 Wright St, Anchorage, AK 99508"
2016-11-08,AK,Anchorage,borough,17-430,East Anchorage,East High School,"4025 E 24Th Ave, Anchorage, AK 99508"
2016-11-08,AK,Anchorage,borough,18-435,West Anchorage No. 1,West High School,"1700 Hillcrest Dr, Anchorage, AK 99517"
2016-11-08,AK,Anchorage,borough,18-440,West Anchorage No. 2,Romig Middle School,"2500 Minnesota Dr, Anchorage, AK 99503"
2016-11-08,AK,Anchorage,borough,18-445,Spenard,Boys & Girls Club,"2300 W 36Th Ave, Anchorage, AK 99517"
2016-11-08,AK,Anchorage,borough,18-450,Willow Crest,Willow Crest Elementary School,"1004 W Tudor Rd, Anchorage, AK 99503"
2016-11-08,AK,Anchorage,borough,18-455,West Anchorage No. 3,Alaska Club West,"1400 W Northern Lights Blvd, Anchorage, AK 99503"
2016-11-08,AK,Anchorage,borough,18-460,Fireweed No. 1,North Star Elementary School,"605 W Fireweed Ln, Anchorage, AK 99503"
2016-11-08,AK,Anchorage,borough,18-465,Fireweed No. 2,Steller Secondary School,"2508 Blueberry Rd, Anchorage, AK 99503"
2016-11-08,AK,Anchorage,borough,18-470,Fireweed No. 3,Shiloh Baptist Church,"855 E 20Th Ave, Anchorage, AK 99501"
2016-11-08,AK,Anchorage,borough,18-475,Midtown No. 1,Loussac Library,"3600 Denali St, Anchorage, AK 99503"
2016-11-08,AK,Anchorage,borough,18-480,Midtown No. 2,First American Baptist Church,"1200 E 27Th Ave, Anchorage, AK 99508"
2016-11-08,AK,Anchorage,borough,19-500,North Mt View No. 1,Mt View Boys & Girls Club,"315 Price St, Anchorage, AK 99508"
2016-11-08,AK,Anchorage,borough,19-505,North Mt View No. 2,Mt View Boys & Girls Club,"315 Price St, Anchorage, AK 99508"
2016-11-08,AK,Anchorage,borough,19-510,South Mt View No. 1,Williwaw Elementary School,"1200 San Antonio St, Anchorage, AK 99508"
2016-11-08,AK,Anchorage,borough,19-515,South Mt View No. 2,St Anthony's Catholic Church,"825 S Klevin, Anchorage, AK 99508"
2016-11-08,AK,Anchorage,borough,19-520,Airport Heights No. 1,Airport Heights Elementary,"1510 Alder, Anchorage, AK 99508"
2016-11-08,AK,Anchorage,borough,19-525,Airport Heights No. 2,Trinity Christian Reformed Church,"3000 E 16Th Ave, Anchorage, AK 99508"
2016-11-08,AK,Anchorage,borough,20-530,Government Hill,Government Hill Elementary,"525 E Bluff Dr, Anchorage, AK 99501"
2016-11-08,AK,Anchorage,borough,20-535,Merrill Field,Anchorage Senior Center,"1300 E 19Th Ave, Anchorage, AK 99501"
2016-11-08,AK,Anchorage,borough,20-540,Downtown Anch No. 1,First United Methodist Church,"725 W 9Th Ave, Anchorage, AK 99501"
2016-11-08,AK,Anchorage,borough,20-545,Downtown Anch No. 2,Anchorage Pioneers' Home,"923 W 11Th Ave, Anchorage, AK 99501"
2016-11-08,AK,Anchorage,borough,20-550,Downtown Anch No. 3,First Presbyterian Church,"616 W 10Th Ave, Anchorage, AK 99501"
2016-11-08,AK,Anchorage,borough,20-555,Downtown Anch No. 4,Central Lutheran Church,"1420 Cordova St, Anchorage, AK 99501"
2016-11-08,AK,Anchorage,borough,20-560,Inlet View,Inlet View Elementary School,"1219 N St, Anchorage, AK 99501"
2016-11-08,AK,Anchorage,borough,20-565,Westchester,Central Middle School of Science,"1405 E St, Anchorage, AK 99501"
2016-11-08,AK,Anchorage,borough,20-570,Fairview,Fairview Recreation Center,"1121 E 10Th Ave, Anchorage, AK 99501"
2016-11-08,AK,Anchorage,borough,21-600,Turnagain No. 1,Turnagain United Methodist,"3300 W Northern Lights Blvd, Anchorage, AK 99517"
2016-11-08,AK,Anchorage,borough,21-605,Sand Lake No. 1,Filipino Bible Church,"3340 Raspberry Rd, Anchorage, AK 99502"
2016-11-08,AK,Anchorage,borough,21-610,Sand Lake No. 2,Gladys Wood Elementary School,"7001 Cranberry, Anchorage, AK 99502"
2016-11-08,AK,Anchorage,borough,21-615,Sand Lake No. 3,Sand Lake Baptist Church,"7434 Jewel Lake Rd, Anchorage, AK 99502"
2016-11-08,AK,Anchorage,borough,21-620,Lake Spenard,Spenard Recreation Center,"2020 W 48Th Ave, Anchorage, AK 99517"
2016-11-08,AK,Anchorage,borough,21-625,Lake Hood,Lake Hood Elementary School,"3601 W 40Th Ave, Anchorage, AK 99517"
2016-11-08,AK,Anchorage,borough,21-630,Turnagain No. 2,Our Lady of Guadalupe,"3900 Wisconsin St, Anchorage, AK 99517"
2016-11-08,AK,Anchorage,borough,21-635,Turnagain No. 3,Our Lady of Guadalupe,"3900 Wisconsin St, Anchorage, AK 99517"
2016-11-08,AK,Anchorage,borough,22-640,Dimond No. 1,Dimond High School (Old Gym),"2902 W 88Th Ave, Anchorage, AK 99502"
2016-11-08,AK,Anchorage,borough,22-645,Kincaid,Kincaid Elementary School,"4900 Raspberry Rd, Anchorage, AK 99502"
2016-11-08,AK,Anchorage,borough,22-650,Jewel Lake No. 1,Jewel Lake Church Of Nazarene,"4025 W 88Th Ave, Anchorage, AK 99502"
2016-11-08,AK,Anchorage,borough,22-655,Jewel Lake No. 2,Chinook Elementary School,"3101 W 88Th Ave, Anchorage, AK 99502"
2016-11-08,AK,Anchorage,borough,22-660,Campbell Lake,Dimond Blvd Baptist Church,"3616 W Dimond Blvd, Anchorage, AK 99502"
2016-11-08,AK,Anchorage,borough,22-665,Sand Lake No. 4,Gloria Dei Lutheran Church,"8427 Jewel Lake Rd, Anchorage, AK 99502"
2016-11-08,AK,Anchorage,borough,22-670,Sand Lake No. 5,Sand Lake Elementary School,"7500 Jewel Lake Rd, Anchorage, AK 99502"
2016-11-08,AK,Anchorage,borough,23-735,Northwood,Northwood Elementary School,"4807 Northwood Dr, Anchorage, AK 99517"
2016-11-08,AK,Anchorage,borough,23-740,Arctic,Plumbers & Steamfitters Union,"610 W 54Th Ave, Anchorage, AK 99518"
2016-11-08,AK,Anchorage,borough,23-745,Midtown No. 3,University Center,"3801 Old Seward Hwy , Anchorage, AK 99503"
2016-11-08,AK,Anchorage,borough,23-750,Taku,Taku Elementary School,"701 E 72Nd Ave, Anchorage, AK 99518"
2016-11-08,AK,Anchorage,borough,23-755,Campbell Creek No. 1,Campbell Elementary School,"7206 Rovena, Anchorage, AK 99518"
2016-11-08,AK,Anchorage,borough,23-760,Campbell Creek No. 2,Finlandia Club,"8225 Spring Street, Anchorage, AK 99518"
2016-11-08,AK,Anchorage,borough,23-765,Campbell Creek No. 3,Anchor Lutheran School,"8100 Arctic Blvd, Anchorage, AK 99518"
2016-11-08,AK,Anchorage,borough,23-770,Dimond No. 2,Dimond Estates Recreational Hall,"1200 W Dimond Blvd, Anchorage, AK 99515"
2016-11-08,AK,Anchorage,borough,24-700,Huffman No. 1,Salvation Army Korean Community Center,"2100 DeArmoun Road, Anchorage, AK 99515"
2016-11-08,AK,Anchorage,borough,24-705,Huffman No. 2,Sunset Hills Baptist Church,"12130 Old Seward Highway, Anchorage, AK 99515"
2016-11-08,AK,Anchorage,borough,24-710,Klatt,Klatt Elementary School,"11900 Juniper Dr, Anchorage, AK 99515"
2016-11-08,AK,Anchorage,borough,24-715,Southport,Mears Middle School,"2700 W 100Th Ave, Anchorage, AK 99515"
2016-11-08,AK,Anchorage,borough,24-720,Ocean View No. 1,Oceanview Elementary School ,"11911 Johns Rd, Anchorage, AK 99515"
2016-11-08,AK,Anchorage,borough,24-725,Ocean View No. 2,Christ Our Savior Lutheran,"1612 Oceanview, Anchorage, AK 99515"
2016-11-08,AK,Anchorage,borough,24-730,Bayshore,Bayshore Elementary School,"11500 Bayshore, Anchorage, AK 99515"
2016-11-08,AK,Anchorage,borough,25-840,East Dowling No. 1,Northern Lights ABC Elementary,"2424 E Dowling Road, Anchorage, AK 99507"
2016-11-08,AK,Anchorage,borough,25-845,Elmore No. 1,Anchorage Bible Fellowship,"7348 Elmore Rd, Anchorage, AK 99507"
2016-11-08,AK,Anchorage,borough,25-850,Abbott  No. 1,Service High School,"5577 Abbott Rd, Anchorage, AK 99507"
2016-11-08,AK,Anchorage,borough,25-855,Lore No. 1,Kasuun Elementary School,"4000 E 68Th Ave, Anchorage, AK 99507"
2016-11-08,AK,Anchorage,borough,25-860,Lore No. 2,Independent Baptist Church,"1801 E 68Th Ave, Anchorage, AK 99507"
2016-11-08,AK,Anchorage,borough,25-865,Abbott No. 2,Abbott Loop Elementary School,"8427 Lake Otis Pkwy, Anchorage, AK 99507"
2016-11-08,AK,Anchorage,borough,25-870,East Dowling No. 2,MOA Public Works Dept,"4700 Elmore Rd, Anchorage, AK 99507"
2016-11-08,AK,Anchorage,borough,26-800,Independence Park No. 1,Spring Hill Elementary School,"9911 Lake Otis Pkwy, Anchorage, AK 99507"
2016-11-08,AK,Anchorage,borough,26-805,O'Malley No. 1,Alaska Zoo,"4731 O'Malley Rd, Anchorage, AK 99507"
