state,jurisdiction_type,municipality,precinct_name,name,address
VT,town/city,Addison,Addison,Addison Town Clerk's Office,65 VT Route 17 West
VT,town/city,Albany,Albany,Albany Town Clerk's Office,827 Main Street
VT,town/city,Alburgh,Alburgh,Alburgh Municipal Building,1 North Main Street
VT,town/city,Andover,Andover,Andover Town Hall,59 Town Hall Road
VT,town/city,Arlington,Arlington,Arlington Memorial High School,529 East Arlington Road
VT,town/city,Athens,Athens,Athens Town Office,25 Brookline Road
VT,town/city,Bakersfield,Bakersfield,Town Hall,40 East Bakersfield Road
VT,town/city,Baltimore,Baltimore,Baltimore Town Office,1902 Baltimore Road
VT,town/city,Barnard,Barnard,Town Hall,115 North Road
VT,town/city,Barnet,Barnet,Fire & Rescue Station,151 Bimson Drive
VT,town/city,Barre City,Barre City,Barre City Auditorium,20 Auditorium Hill
VT,town/city,Barre Town,Barre Town,Barre Town Middle & Elementary School Gymnasium,70 Websterville Road
VT,town/city,Barton,Barton,Lake Region Union High School,317 Lake Region Road. 
VT,town/city,Belvidere,Belvidere,Belvidere Town Office,3996 VT Route 109
VT,town/city,Bennington 2-1 & 2-2,Bennington 2-1 & 2-2,Bennington Fire House,"130 River Street, Bennington"
VT,town/city,Bennington 2-1 Village voters,Bennington 2-1 Village voters,Bennington 2-1 Village voters,"2 Depot Street, North Bennington"
VT,town/city,Benson,Benson,Benson Community Hall,2724 Stage Road
VT,town/city,Berkshire,Berkshire,Berkshire Town Clerk's Office,4454 Watertower Road. Enosburgh Falls
VT,town/city,Berlin,Berlin,Berlin Municipal Office,108 Shed Road
VT,town/city,Bethel,Bethel,Whitcomb High School ,273 Pleasant Street
VT,town/city,Bloomfield,Bloomfield,Old Schoolhouse,27 Schoolhouse Road
VT,town/city,Bolton,Bolton,Smilie Memorial School,2712 Theodore Roosevelt Highway
VT,town/city,Bradford,Bradford,Bradford Academy,172 North Main Street
VT,town/city,Braintree,Braintree,Braintree Town Hall,5379 VT Route 12A
VT,town/city,Brandon,Brandon,Brandon Town Hall,1 Conant Square
VT,town/city,Brattleboro,Brattleboro,American Legion,32 Linden Street
VT,town/city,Bridgewater,Bridgewater,Town Office,7335 US RT 4
VT,town/city,Bridport,Bridport,Community/Masonic Hall,52 Middle Road
VT,town/city,Brighton,Brighton,Town Hall Gym,49 Mill Street Ext.
VT,town/city,Bristol,Bristol,Holley Hall,1 South Street
VT,town/city,Brookfield,Brookfield,Brookfield Elementary School,1728 Ridge Road
VT,town/city,Brookline,Brookline,Brookline Town Office,734 Grassy Brook Road
VT,town/city,Brownington,Brownington,Brownington Town Office,622 Schoolhouse Road
VT,town/city,Brunswick,Brunswick,Community Office Building,994 VT Route 102
VT,town/city,Burke,Burke,Burke Community Building,212 School Street
VT,town/city,Burlington - Ward 1,Burlington - Ward 1, Mater Christi School, 100 Mansfield Ave.
VT,town/city,Burlington - Ward 2,Burlington - Ward 2, HO Wheeler School,Archibald/Walnut Streets
VT,town/city,Burlington - Ward 3,Burlington - Ward 3, Lawrence Barnes School,123 North Street
VT,town/city,Burlington - Ward 4,Burlington - Ward 4,St. Marks Youth Center,1271 North Avenue
VT,town/city,Burlington - Ward 5,Burlington - Ward 5,Burlington Electric Department,585 Pine Street
VT,town/city,Burlington - Ward 6,Burlington - Ward 6,Edmunds Middle School,275 Main Street
VT,town/city,Burlington - Ward 7,Burlington - Ward 7,Robert Miller Center,130 Gosse Court
VT,town/city,Burlington - Ward 8,Burlington - Ward 8,Fletcher Free Library ,235 College Street
VT,town/city,Cabot,Cabot,Willey Building,3084 Main Street
VT,town/city,Calais,Calais,Town Office,3120 Pekin Brook Road
VT,town/city,Cambridge,Cambridge,Cambridge Elementary School,186 School Road
VT,town/city,Canaan,Canaan,Canaan Town Office,318 Christian Hill
VT,town/city,Castleton,Castleton,Castleton Fire Station,273 VT Route 30 North
VT,town/city,Cavendish,Cavendish,Proctorsville Fire Department,513 Main Street
VT,town/city,Charleston,Charleston,Charleston Town Clerk's Office,5063 VT Route 105
VT,town/city,Charlotte,Charlotte,CCS Multi-Purpose Room,408 Hinesburg Road
VT,town/city,Chelsea,Chelsea,Chelsea Town Hall,296 VT RT 110
VT,town/city,Chester,Chester,"Chester Town Hall, Second Floor",556 Elm Street
VT,town/city,Chittenden,Chittenden,Chittenden Municipal Offices,260 Chittenden Road
VT,town/city,Clarendon,Clarendon,Clarendon Town Hall,279 Middle Road
VT,town/city,Colchester-Chit-9-1,Colchester-Chit-9-1,Colchester High School Gymnasium,131 Laker Lane
VT,town/city,Colchester-Chit-9-2,Colchester-Chit-9-2,Colchester High School Gymnasium,131 Laker Lane
VT,town/city,Concord,Concord,Concord Town Hall,456 Main Street
VT,town/city,Corinth,Corinth,Town Hall,1387 Cookeville Road
VT,town/city,Cornwall,Cornwall,Town Hall,2629 Route 30
VT,town/city,Coventry,Coventry,Coventry Community Center,168 Main Street
VT,town/city,Craftsbury,Craftsbury,Craftsbury Town Hall,85 South Craftsbury Road
VT,town/city,Danby,Danby,Municipal Office,130 Brook Road
VT,town/city,Danville,Danville,Danville Town Hall,36 US Route 2 West
VT,town/city,Derby,Derby,Derby Municipal Office,124 Main Street
VT,town/city,Dorset,Dorset,The Dorset School,130 School Drive 
VT,town/city,Dover,Dover,Town Hall,"189 Taft Brook Road, East Dover"
VT,town/city,Dummerston,Dummerston,Dummerston Congregational Church,1535 Middle Road
VT,town/city,Duxbury,Duxbury,Crossett Brook Middle School,5672 VT Route 100
VT,town/city,East Haven,East Haven,Community Building,64 Community Building Road
VT,town/city,East Montpelier,East Montpelier,East Montpelier Elementary School,665 Vincent Flats Road
VT,town/city,Eden,Eden,Town Clerk's Office,71 Old Schoolhouse Road
VT,town/city,Elmore,Elmore,Town Clerk's Office,1192 VT Route 12
VT,town/city,Enosburgh,Enosburgh,Enosburgh Emergency Services Building,83 Sampsonville Road
VT,town/city,Essex - Chit 8-1 and 8-3,Essex - Chit 8-1 and 8-3,Essex Middle School,60 Founders Road
VT,town/city,Essex - Chit 8-2,Essex - Chit 8-2,Essex High School,2 Educational Drive
VT,town/city,Fair Haven,Fair Haven,American Legion Post #49,72 South Main St.
VT,town/city,Fairfax,Fairfax,Bellows Free Academy,75 Hunt Street
VT,town/city,Fairfield,Fairfield,Municipal Building,25 North Road
VT,town/city,Fairlee,Fairlee,Fairlee Town Hall,75 Town Common Road
VT,town/city,Fayston,Fayston,Fayston Municipal Offices,866 North Fayston Road
VT,town/city,Ferrisburgh,Ferrisburgh,Town Hall and Community Center,3279 Route 7
VT,town/city,Fletcher,Fletcher,Fletcher Town Offices,33 Shaw Road
VT,town/city,Franklin,Franklin,Franklin Town Hall,5336 Main Street
VT,town/city,Georgia,Georgia,Georgia Elementary & Middle School,4416 Ethan Allen Highway
VT,town/city,Glover,Glover,Glover Town Clerk's Office,51 Bean Hill
VT,town/city,Goshen,Goshen,Goshen Town Hall,50 Carlisle Hil Road
VT,town/city,Grafton,Grafton,Grafton Town Hall,117 Main Street
VT,town/city,Granby,Granby,Granby Town Hall,9005 Granby Road
VT,town/city,Grand Isle,Grand Isle,Grand Isle Town Municiipal Building,9 Hyde Road
VT,town/city,Granville,Granville,Town Hall,4157 VT Route 100
VT,town/city,Greensboro,Greensboro,Town Clerk,82 Craftsbury Rd.
VT,town/city,Groton,Groton,Groton Community Building Gym,1476 Scott Highway
VT,town/city,Guildhall,Guildhall,The Guild Hall   (Town Hall),13 Courthouse Drive
VT,town/city,Guilford,Guilford,Broad Brook Community Center,3940 Guildford Center Road
VT,town/city,Halifax,Halifax,Halifax Elementary Multipurpose Room,246 Branch Road
VT,town/city,Hancock,Hancock,Hancock Town Office,1027 VT Route 100
VT,town/city,Hardwick,Hardwick,Elementary School,135 South Main Street
VT,town/city,Hartford,Hartford,Hartford High School,37 Highland Avenue
VT,town/city,Hartland,Hartland,Damon Hall,1 Quechee Road
VT,town/city,Highgate,Highgate,Highgate Elementary School,219 Gore Road
VT,town/city,Hinesburg,Hinesburg,Hinesburg Town Hall,10632 Route 116
VT,town/city,Holland,Holland,Holland Town Office,120 School Road
VT,town/city,Hubbardton,Hubbardton,Town Hall,1831 Monument Hill Road
VT,town/city,Huntington,Huntington,Brewster-Pierce School,120 School Street
VT,town/city,Hyde Park,Hyde Park,"Town Clerk's Office, Lower Level",344 VT 15 W
VT,town/city,Ira,Ira,Ira Town Office,1800 Route 133
VT,town/city,Irasburg,Irasburg,Irasburg Town Hall,118 Park Avenue
VT,town/city,Isle La Motte,Isle La Motte,Town Hall,2272 Main Street
VT,town/city,Jamaica,Jamaica,Town Office,28 Town Office Road
VT,town/city,Jay,Jay,Town Clerk's Office,1036 VT Route 242
VT,town/city,Jericho,Jericho,Mount Mansfield Union High School,211 Brown's Trace
VT,town/city,Johnson,Johnson,Johnson Municipal Building,293 Lower Main West
VT,town/city,Killington,Killington,Killington Town Office,2706 River Road
VT,town/city,Kirby,Kirby,Kirby Town Hall,346 Town Hall Road
VT,town/city,Landgrove,Landgrove,Landgrove Town Hall,88 Landgrove Road
VT,town/city,Leicester,Leicester,Town Office,44 School House Road
VT,town/city,Lemington,Lemington,Town Hall,2549 River Road
VT,town/city,Lincoln,Lincoln,Lincoln Town Office,62 Quaker Street
VT,town/city,Londonderry,Londonderry,Town Office/Twitchell Building,"100 Old School Street, So. Londonderry"
VT,town/city,Lowell,Lowell,Town Clerks Office,2170 VT Route 100
VT,town/city,Ludlow,Ludlow,Town Hall,37 Depot Street
VT,town/city,Lunenburg,Lunenburg,Lunenburg School,49 Bobbin Mill Road
VT,town/city,Lyndon,Lyndon,Town of Lyndon Municipal Office Building,119 Park Avenue
VT,town/city,Maidstone,Maidstone,Maidstone Town Hall,508 VT Route 102
VT,town/city,Manchester,Manchester,Manchester Town Hall,6039 Maint Street
VT,town/city,Marlboro,Marlboro,Marlboro Town Office,510 South Road
VT,town/city,Marshfield,Marshfield,Old Schoolhouse Common,122 School Street
VT,town/city,Mendon,Mendon,Mendon Town Office,2282 US Route 4
VT,town/city,Middlebury,Middlebury,Middlebury Town Offices,77 Main Street
VT,town/city,Middlesex,Middlesex,Town Hall,5 Church Street
VT,town/city,Middletown Springs,Middletown Springs,Historical Society Building,4 Park Avenue
VT,town/city,Milton,Milton,Milton Municipal Office Building,43 Bombardier Road
VT,town/city,Monkton,Monkton,Monkton Volunteer Fire Department,"3747 States Prison Hollow Road, Bristol"
VT,town/city,Montgomery,Montgomery,Town Hall  (The Grange),57 Main Street
VT,town/city,Montpelier,Montpelier,City Hall,39 Main Street
VT,town/city,Moretown,Moretown,Moretown Elementary School,940 ROUTE 100B
VT,town/city,Morgan,Morgan,Town Clerk's Office,41 Meade Hill Road
VT,town/city,Morristown,Morristown,Morristown Municipal Building,43 Portland Street
VT,town/city,Mount Holly,Mount Holly,Mount Holly Town Office,50 School Street
VT,town/city,Mount Tabor,Mount Tabor,Town Office,522 Brooklyn Road
VT,town/city,New Haven,New Haven,Town Hall,50 North Street
VT,town/city,Newark,Newark,Newark Town Clerk's Office,1336 Newark Street
VT,town/city,Newbury Village (Newbury Village Voters Only),Newbury Village (Newbury Village Voters Only),Newbury Town Offices,4982 Main St. S
VT,town/city,Newbury (Wells River Village voters only),Newbury (Wells River Village voters only),Wells River Village Hall,15 Creamery St
VT,town/city,Newbury (All non-village voters only),Newbury (All non-village voters only),Newbury Center Town House,4504 Scotch Hollow Road
VT,town/city,Newfane,Newfane,NewBrook Fire Department,698 VT Route 30
VT,town/city,Newport City,Newport City,Newport Municipal Building,222 Main Street
VT,town/city,Newport Town,Newport Town,Town Clerk's Office,102 Vance Hill Road
VT,town/city,North Hero,North Hero,Town Office Meeting Room,6441 US Route 2
VT,town/city,Northfield,Northfield,Northfield High School,37 Cross Street
VT,town/city,Norton,Norton,Norton Town Hall,12 VT Route 114 E
VT,town/city,Norwich,Norwich,Tracy Hall,300 Main Street
VT,town/city,Orange,Orange,Town Hall,392 US Route 302
VT,town/city,Orwell,Orwell,Orwell Town Hall,480 Main Street
VT,town/city,Panton,Panton,Panton Town Hall,3176 Jersey Street
VT,town/city,Pawlet,Pawlet,Town Hall,122 School Street
VT,town/city,Peacham,Peacham,Peacham Town Hall Gymnasium,79 Church Street
VT,town/city,Peru,Peru,Peru Town Center,402 Main Street
VT,town/city,Pittsfield,Pittsfield,Town Office Building,40 Village Green
VT,town/city,Pittsford,Pittsford,Town Offices,426 Plains Road
VT,town/city,Plainfield,Plainfield,Plainfield Municipal Building,149 Main Street
VT,town/city,Plymouth,Plymouth,Town Hall,68 Town Office Road
VT,town/city,Pomfret,Pomfret,Pomfret Town Offices,5218 Pomfret Road
VT,town/city,Poultney,Poultney,Poultney Fire House,45 Fire House Lane
VT,town/city,Pownal,Pownal,Pownal Center Fire House,2872 North Pownal Road
VT,town/city,Proctor,Proctor,Proctor Jr./Sr. High School,4 Park Street
VT,town/city,Putney,Putney,Putney Central School,182 Westminister Road
VT,town/city,Randolph,Randolph,Randolph Town Hall,7 Summer Street
VT,town/city,Reading,Reading,Robinson Hall,799 Route 106
VT,town/city,Readsboro,Readsboro,Readsboro Central School,301 Phelps Lane
VT,town/city,Richford,Richford,Richford Town Hall,94 Main Street
VT,town/city,Richmond,Richmond,Camels Hump Middle School,173 School Street
VT,town/city,Ripton,Ripton,Ripton Community House,1283 VT Route 125
VT,town/city,Rochester,Rochester,Rochester Town Office,67 School Street
VT,town/city,Rockingham,Rockingham,Masonic Temple,61 Westminster Street
VT,town/city,Roxbury,Roxbury,Roxbury Town Office,1664 Roxbury Road
VT,town/city,Royalton,Royalton,Royalton K-12 School Gymnasium,223 South Windsor Street
VT,town/city,Rupert,Rupert,Town Office,187 East Street
VT,town/city,Rutland (Ward 1),Rutland (Ward 1),Godnick Center,22 Deer Street
VT,town/city,Rutland (Ward 2),Rutland (Ward 2),Christ the King School,South Main Street
VT,town/city,Rutland (Ward 3),Rutland (Ward 3),American Legion,33 Washington Street
VT,town/city,Rutland (Ward 4),Rutland (Ward 4),Calvary Bible Church,2 Meadow Way
VT,town/city,Rutland Town,Rutland Town,Rutland Town Elementary School,1612 Post Road
VT,town/city,Rutland Town,Rutland Town,Town Hall,181 U.S. Route 4
VT,town/city,Ryegate,Ryegate,Ryegate Town Hall,134 Witherspoon Road
VT,town/city,Salisbury,Salisbury,Salisbury Town Office,25 Schoolhouse Road
VT,town/city,Sandgate,Sandgate,Sandgate Town Hall,3266 Sandgate Road
VT,town/city,Searsburg,Searsburg,Town Clerks Office,18 Town Garage Road
VT,town/city,Shaftsbury,Shaftsbury,Shaftsbury Fire House,166 Buck Hill Road
VT,town/city,Sharon,Sharon,Sharon Elementary School,75 VT Route 132
VT,town/city,Sheffield,Sheffield,Sheffield Town Office,37 Dane Road
VT,town/city,Shrewsbury,Shrewsbury,Shrewsbury Community Meeting House,88 Lottery Road
VT,town/city,Shelburne,Shelburne,Town Center Building,5420 Shelburne Road
VT,town/city,Sheldon,Sheldon,Sheldon Town Office,1640 Main Street
VT,town/city,Shoreham,Shoreham,Town Offices,297 Main Street
VT,town/city,"South Burlington, Chittenden, 7-1","South Burlington, Chittenden, 7-1",Orchard School,2 Baldwin Avenue
VT,town/city,"South Burlington, Chittenden, 7-2","South Burlington, Chittenden, 7-2",FHT Middle School,500 Dorset Street
VT,town/city,"South Burlington, Chittenden, 7-3","South Burlington, Chittenden, 7-3",FHT Middle School,500 Dorset Street
VT,town/city,"South Burlington, Chittenden, 7-4","South Burlington, Chittenden, 7-4",Chamberlin School,262 White Street
VT,town/city,South Hero,South Hero,Town Office Building,333 Route 2
VT,town/city,Springfield,Springfield,Riverside Middle School,13 Fairground Road
VT,town/city,St Albans Town,St Albans Town,Collins Perley Sports Center,890 Fairfax Road
VT,town/city,St. Albans City,St. Albans City,St. Albans City Hall,100 North Main Street
VT,town/city,St. George,St. George,Town Hall,21 Barber Road
VT,town/city,St. Johnsbury,St. Johnsbury,St. Johnsbury School,257 Western Avenue
VT,town/city,Stamford,Stamford,Stamford Elementary School,986 Main Road
VT,town/city,Stannard,Stannard,Stannard Town Hall,516 Stannard Mountain Road
VT,town/city,Starksboro,Starksboro,Robinson Elementary School,41 Parsonage Road
VT,town/city,Stockbridge,Stockbridge,Stockbridge Town Office,1722 VT Route 100
VT,town/city,Stowe,Stowe,Akeley Memorial Building,67 Main Street
VT,town/city,Strafford,Strafford,Strafford Town House,12 Brook Road
VT,town/city,Stratton,Stratton,Stratton Town Office,9 W. Jamaica Road.
VT,town/city,Sudbury,Sudbury,Sudbury Town Hall,2759 Route 30
VT,town/city,Sunderland,Sunderland,Sunderland Municipal Offices,104 Mountain View Road
VT,town/city,Sutton,Sutton,Sutton School Multipurpose Room,95 Underpass Road
VT,town/city,Swanton,Swanton,Swanton Village Complex,120 1st Street
VT,town/city,Thetford,Thetford,Town Hall,3910 VT Route 113 
VT,town/city,Tinmouth,Tinmouth,Tinmouth Community Center,573 Route 140 
VT,town/city,Topsham,Topsham,Topsham Town Hall,6 Harts Road  
VT,town/city,Townshend,Townshend,Town Hall,2006 VT Route 30
VT,town/city,Troy,Troy,Troy Elementary School Gymnasium,126 Main Street
VT,town/city,Tunbridge,Tunbridge,Tunbridge Town Hall,27 VT RT 110
VT,town/city,Underhill,Underhill,Town Hall,12 Pleasant Valley Road
VT,town/city,Vergennes,Vergennes,Fire Station,50 Green Street
VT,town/city,Vernon,Vernon,Vernon Town Hall,567 Governor Hunt Road
VT,town/city,Vershire,Vershire,Town Center Building,27 Vershire Center Road
VT,town/city,Victory,Victory,Town Office,"102 Radar Road, N. Concord"
VT,town/city,Waitsfield,Waitsfield,Waitsfield Elementary School,3951 Main Street 
VT,town/city,Walden,Walden,Walden Town Clerk's Office,12 VT Route 215
VT,town/city,Wallingford,Wallingford,Wallingford Town Hall,75 School Street
VT,town/city,Waltham,Waltham,Waltham Town Hall,2053 Maple Street
VT,town/city,Wardsboro,Wardsboro,Town Office,71 Main Street
VT,town/city,Warren,Warren,Warren Elementary School,293 School Road
VT,town/city,Washington,Washington,Washington Town Hall/Municipal Building,2895 VT Route 110
VT,town/city,Waterbury,Waterbury,Thatcher Brook Primary School,47 Stowe Street 
VT,town/city,Waterford,Waterford,Waterford Elementary School,276 Duck Pond Road
VT,town/city,Waterville,Waterville,Waterville Town Hall,544 VT Route 109
VT,town/city,Weathersfield,Weathersfield,Martin Memorial Hall,"5259 US Route 5, Ascutney, VT"
VT,town/city,Wells,Wells,Wells Town Office,1064 VT RT 30
VT,town/city,West Fairlee,West Fairlee,Community Building/Town Office,870 Route 113 
VT,town/city,West Haven,West Haven,Community Hall,"2919 Main Road, Fair Haven"
VT,town/city,West Rutland,West Rutland,Town Hall,35 Marble Street
VT,town/city,West Windsor,West Windsor,Story Memorial Hall,22 Brownsville-Hartland Road
VT,town/city,Westfield,Westfield,Westfield Community Center,59 North Hill Road
VT,town/city,Westford,Westford,Westford School,146 Brookside Road
VT,town/city,Westminster,Westminster,Westminster Institute,3534 U.S. Route 5
VT,town/city,Westmore,Westmore,Municipal Building,54 Hinton Hill Road
VT,town/city,Weston,Weston,Weston Town Office,12 Lawrence Hill Road
VT,town/city,Weybridge,Weybridge,Town Clerk's Office,1727 Quaker Village Road
VT,town/city,Wheelock,Wheelock,Wheelock Town Hall,1192 Route 122  
VT,town/city,Whiting,Whiting,Town Hall,29 S. Main Street
VT,town/city,Whitingham,Whitingham,Whitingham Municipal Center,2948 VT Route 100
VT,town/city,Williamstown,Williamstown,Williamstown Middle/High School,Hebert Road
VT,town/city,Williston,Williston,Williston Armory,7846 Williston Road
VT,town/city,Wilmington,Wilmington,Twin Valley Elementary School,360 VT Route 100 North
VT,town/city,Windham,Windham,Windham Town Office,5976 Windham Hill Road
VT,town/city,Windsor,Windsor,Windsor Municipal Bldg. Rec. Ctr. Gym,29 Union Street
VT,town/city,Winhall,Winhall,Town Hall,"115 VT Route 30, Bondville"
VT,town/city,Winooski,Winooski,Winooski Senior Center,123 Barlow Street
VT,town/city,Wolcott,Wolcott,Wolcott Town Office,28 Railroad Street
VT,town/city,Woodbury,Woodbury,Woodbury Town Hall,3675 VT Route 14
VT,town/city,Woodford,Woodford,Woodford Town Hall,1391 VT Route 9
VT,town/city,Woodstock,Woodstock,Town Hall,31 The Green
VT,town/city,Worcester,Worcester,Worcester Town Hall,12 Worcester Village Road
