,,,,
,,,,
02,,549,"HUMAN SERV BLDG
SCOOBA MS 39358",929 KEMPER ST SCOOBA MS 39358
03,,193,"FARMERS MKT
DEKALB MS 39328","587 OLD SCOOBA ST DEKALB MS
39328"
04,,671,"LIBRARY
DEKALB MS 39328",141 BELL ST DEKALB MS 39328
05,,860,"OLD PORTERVILLE SCHOOL -
BEHIND
PORTERVILLE MS 39352","155 SCOOBA RD PORTERVILLE MS
39352"
06,,211,"KEMPER SPRINGS COMMUNITY
CENTER
DEKALB MS 39328","2397 KEMPER SPRINGS ROAD
DEKALB MS 39328"
,,,,
08,,258,"SENIOR CITIZENS BUILIDING -
HWY
DEKALB MS 39328",672 HWY 495 S DEKALB MS 39328
09,,489,"DAMASCUS COMMUNITY CENTER
DEKALB MS 39328",7494 HWY 495 S DEKALB MS 39328
10,,620,"OLD LYNVILLE SCHOOL
PRESTON MS 39354","75 OLD LYNVILLE SCHOOL RD
PRESTON MS 39354"
11,,590,"PRESTON FIRE DEPARTMENT #2
PRESTON MS 39354",5102 HWY 21 S PRESTON MS 39354
12,,265,"SPRING HILL FIRE STATION
DEKALB MS 39328","9321 KELLIS STORE RD DEKALB MS
39328"
13,,"1,214","KEMPER COUNTY COURTHOUSE
DEKALB MS 39328","280 VETERANS STREET DEKALB MS
39328"
14,,535,"MOUNT NEBO FIRE DEPARTMENT
DEKALB MS 39328",977 MT NEBO RD DEKALB MS 39328
,,"7,871",Total Active Voter Count,